scenario_id,agent_id,object_type,horizon_s,cv_ade,cv_fde,kf_ade,kf_fde,kf_uncertainty_final
66d2f8859f26c401,1634,pedestrian,1.0,0.02860116685887252,0.06833941733845529,0.07615677951264471,0.08855090875262597,1.869754361654591
66d2f8859f26c401,1640,pedestrian,1.0,0.04236170792548245,0.08640446913046529,0.14647137012144346,0.2628427512868133,1.869754361654591
66d2f8859f26c401,1665,pedestrian,1.0,0.014058452807108004,0.021706526723893796,0.013031292624184065,0.016694146656338532,1.869754361654591
66d2f8859f26c401,1679,pedestrian,1.0,0.14584559867931715,0.3362023327037802,0.2206462727162025,0.403522142725945,1.86975436165459
66d2f8859f26c401,1681,pedestrian,1.0,0.05408252981101704,0.08649333034872847,0.06892941221932244,0.11629121764079257,1.8698860209031154
675906df18cc419a,1594,pedestrian,1.0,0.05434565453542493,0.11168386782710836,0.1750151307099402,0.29843969569522016,1.8697543616545909
6b48214f47be32fc,1523,pedestrian,1.0,0.0591102176846942,0.08464305395031098,0.10773998923565378,0.16986366860715144,1.8698860209031165
6ea1530b289aec91,1276,pedestrian,1.0,0.023371565095608865,0.030569700851841634,0.13551138498022755,0.20123565059724952,1.8698860209031165
6ea1530b289aec91,1277,pedestrian,1.0,0.07805445258854615,0.08733008763931667,0.17999673788127746,0.246828038142667,1.8698860209031165
722e894fd915b4eb,1025,pedestrian,1.0,0.04498460839516646,0.07041801070140899,0.04726750445664228,0.06973114537315,1.8698860209031165
734c57bbbf191450,2186,pedestrian,1.0,0.0215965303453186,0.03259458765377956,0.16120379617901642,0.26621391677902884,1.869929904308263
750f17fb3ac9783d,2355,pedestrian,1.0,0.011272753914927835,0.02646955544179217,0.11236662464701488,0.204237472077648,1.8698860209031165
750f17fb3ac9783d,2385,cyclist,1.0,0.4833643105440906,0.9819004193897668,0.8460905508795655,1.4316785335147673,1.8698860209031165
78a415dcc9af404e,1246,pedestrian,1.0,0.128757672313407,0.12015385127553455,0.14180396286328378,0.19483638718834576,1.869929904308262
7a877066976dde0,1826,pedestrian,1.0,0.04334414584280252,0.12768753255300375,0.06344728398054132,0.172821476989056,1.8697543616545909
7a877066976dde0,1841,pedestrian,1.0,0.36210814031048183,0.6236532404093066,0.315689123424659,0.47759526305330013,1.8697543616545909
7d040037cd4d968e,2632,pedestrian,1.0,0.06688549134588934,0.1287290324027368,0.06898833361353345,0.1262597685154008,1.8698860209031165
7d040037cd4d968e,2635,pedestrian,1.0,0.0396786893006254,0.08083558513181097,0.02862670712225444,0.05567392566717861,1.8698860209031165
7d040037cd4d968e,2665,pedestrian,1.0,0.07250202859607931,0.1996475361525049,0.12312787452949987,0.2789505238273554,1.8698860209031165
7d040037cd4d968e,2684,pedestrian,1.0,0.05046570016994537,0.07781652489645388,0.061672359579789324,0.08918779784154929,1.8698860209031154
7d040037cd4d968e,2688,pedestrian,1.0,0.09507572482465343,0.18982529013942465,0.16481349484149507,0.21423492957486898,1.8695787948700482
7d040037cd4d968e,2721,cyclist,1.0,0.15607350611559048,0.22475619796601243,0.12048161488350403,0.17683347078957257,1.8697104722235829
7d1d2b26dd1e62e4,1512,pedestrian,1.0,0.06001702817633563,0.07271383255756295,0.17493297911303057,0.251332488765377,1.869754361654591
7efb8ffc5f5cb1b4,1217,pedestrian,1.0,0.015744645113679047,0.018833549286507104,0.019235929406129143,0.016854462553019336,1.8697543616545909
7efb8ffc5f5cb1b4,1218,pedestrian,1.0,0.01635955191660614,0.02195641163954254,0.014416039885319382,0.023115752640913912,1.8697543616545909
7efb8ffc5f5cb1b4,1219,pedestrian,1.0,0.08891308840020387,0.14004985741004228,0.09818933733126618,0.14692506547623113,1.8697543616545909
7efb8ffc5f5cb1b4,1220,pedestrian,1.0,0.023146527430211422,0.0322236813456634,0.019558912462565463,0.021137964762004302,1.8697543616545909
