scenario_id,agent_id,object_type,predictor,ade,fde,beam_timing_error_s,proactive_gain_s,final_uncertainty
7efb8ffc5f5cb1b4,1218,pedestrian,KF,0.03255879946813536,0.04044910324057832,,0.0,9.01037676685647
7efb8ffc5f5cb1b4,1220,pedestrian,KF,0.05799356539636571,0.10974628295874721,,0.0,9.01037676685647
7fcb65089a2bb672,2629,pedestrian,CV,2.8866989459705246,7.769118810423818,,0.0,2.0
7fcb65089a2bb672,2630,pedestrian,CV,0.31163244533744394,1.0939750674972775,,0.0,2.0
7fcb65089a2bb672,2631,pedestrian,CV,0.5503079575450516,0.6987635046478774,,0.0,2.0
7fcb65089a2bb672,2633,pedestrian,KF,0.18693037617131225,0.3481298194086274,,0.0,9.01186455959754
7fcb65089a2bb672,2636,pedestrian,KF,1.8767983661137464,4.245147597976862,,0.0,9.01186455959754
821e0118a0ef48b2,3937,pedestrian,CV,1.4113240730507084,3.435232253796924,,0.0,2.0
821e0118a0ef48b2,3938,pedestrian,CV,0.40599121768581425,0.8833216406698355,,0.0,2.0
821e0118a0ef48b2,3956,pedestrian,CV,0.41961221642922925,0.688613492946033,,0.0,2.0
8e8052b4f96b2199,310,pedestrian,CV,2.8448536367120516,6.981530763046987,0.0,0.0,2.0
8f1ccf225dd5813c,159,pedestrian,KF,0.06885928868365783,0.11742830235522908,,0.0,9.012360496899156
914f16ffef6529c5,108,pedestrian,KF,0.06802067013605594,0.14036750820124677,,0.0,9.01037676685647
914f16ffef6529c5,116,pedestrian,CV,0.10561117118079849,0.26881871438949806,,0.0,2.0
91ae85924f2177b3,216,pedestrian,CV,2.3586741050233773,6.400934001548377,,0.0,2.0
95bd21699baa15a5,4569,pedestrian,KF,0.35818997692056626,1.8916743045143496,,0.0,9.010376766856469
95bd21699baa15a5,4570,pedestrian,KF,0.412931795105719,1.4650568066716452,,0.0,9.010376766856469
9646b687f1411768,3338,pedestrian,CV,1.0267402319331547,2.2585442277531707,,0.0,2.0
9646b687f1411768,3340,pedestrian,CV,0.9828265010377006,2.305011013417252,,0.0,2.0
a067a3788873f5be,4821,pedestrian,KF,0.7849893309197509,0.883005434546287,,0.0,9.009880842318957
a067a3788873f5be,4835,pedestrian,KF,2.5410556637511856,5.533628538583335,,0.0,9.008393087785572
a067a3788873f5be,5049,cyclist,KF,4.269654899789787,9.328552321377302,,0.0,9.010376766856464
a149237c0d9c27ea,1949,cyclist,CV,2.502329810896738,5.587325326779947,,0.0,2.0
a200040e65ba224c,4717,pedestrian,CV,0.26116313287350046,0.49760284206788935,,0.0,2.0
a2fd6176c7695739,3687,pedestrian,KF,0.403891600862256,1.2229001508316633,,0.0,9.005913560281655
